Factor,FactorSymbol,Level,R2Gate,PDIProbability,CandidateMultiplier,EliteArchiveSize,Dimension,Run,Seed,FinalFE,FinalObjective,RuntimeSeconds,Status
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,3,844732,1000,0.00104146791752924,20.892359,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,4,844733,1000,0.0123934662321078,20.875257,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,5,844734,1000,0.000184963597242849,20.7988087,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,6,844735,1000,0.0234173582563415,21.4008862,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,7,844736,1000,0.00673051941084513,22.0980975,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,8,844737,1000,0.0341453987946556,21.5380733,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,9,844738,1000,0.000639711084850947,22.2143355,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,30,10,844739,1000,0.0189982281451692,21.6797584,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,1,1314730,1000,2.38825358974579,179.3497358,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,2,1314731,1000,1.34308375547546,180.5202423,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,3,1314732,1000,3.11107414672438,181.5475951,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,4,1314733,1000,1.88030248723818,183.5226208,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,5,1314734,1000,1.40442586825237,182.9497733,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,6,1314735,1000,1.25520826361705,187.5726339,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,7,1314736,1000,1.83017361753676,183.5812103,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,8,1314737,1000,1.79013644475639,183.5810671,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,9,1314738,1000,1.39913069439839,181.9817064,completed
R2Gate,$\tau_{R^2}$,0.3,0.3,0.2,20,50,500,10,1314739,1000,2.03270669708533,187.1565704,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,1,844730,1000,0.00877907508308884,21.5559494,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,2,844731,1000,0.00398593792837765,21.3573784,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,3,844732,1000,0.00168691717112002,21.5960078,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,4,844733,1000,0.0248079416479198,21.4954839,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,5,844734,1000,0.0221454010451591,21.5343265,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,6,844735,1000,0.00561947516104877,21.2974159,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,7,844736,1000,0.0103886008804506,23.0011935,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,8,844737,1000,0.0389846155500195,21.5006703,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,9,844738,1000,0.0070720259153525,21.3170778,completed
PDIProbability,$p_{\mathrm{PDI}}$,0,0.1,0,20,50,30,10,844739,1000,0.0518506917334559,22.3037322,completed
