Algorithm,Scenario,Run,Dimension,ProblemVersion,FinalFE,Status,Seconds,Message
SHPSO,1,16,500,obstacle-aware-v2,1000,completed,2318.64729,worker completed
SHPSO,1,17,500,obstacle-aware-v2,1000,completed,914.5351076,worker completed
SHPSO,1,18,500,obstacle-aware-v2,1000,completed,6773.745363,worker completed
SHPSO,1,19,500,obstacle-aware-v2,1000,completed,3139.720187,worker completed
SHPSO,1,20,500,obstacle-aware-v2,1000,completed,1630.013918,worker completed
SHPSO,2,1,500,obstacle-aware-v2,1000,completed,645.7754179,worker completed
SHPSO,2,2,500,obstacle-aware-v2,1000,completed,4708.623419,worker completed
SHPSO,2,3,500,obstacle-aware-v2,1000,completed,4718.07533,worker completed
SHPSO,2,4,500,obstacle-aware-v2,1000,completed,982.5206219,worker completed
SHPSO,2,5,500,obstacle-aware-v2,1000,completed,1954.378634,worker completed
SHPSO,2,6,500,obstacle-aware-v2,1000,completed,616.7999674,worker completed
SHPSO,2,7,500,obstacle-aware-v2,1000,completed,5190.812613,worker completed
SHPSO,2,8,500,obstacle-aware-v2,1000,completed,574.1105482,worker completed
SHPSO,2,9,500,obstacle-aware-v2,1000,completed,3130.042273,worker completed
SHPSO,2,10,500,obstacle-aware-v2,1000,completed,841.1035721,worker completed
SHPSO,2,11,500,obstacle-aware-v2,1000,completed,1301.175611,worker completed
SHPSO,2,12,500,obstacle-aware-v2,1000,completed,2643.295243,worker completed
SHPSO,2,13,500,obstacle-aware-v2,1000,completed,982.9120187,worker completed
SHPSO,2,14,500,obstacle-aware-v2,1000,completed,739.6553477,worker completed
SHPSO,2,15,500,obstacle-aware-v2,1000,completed,1082.678039,worker completed
SHPSO,2,16,500,obstacle-aware-v2,1000,completed,994.6691288,worker completed
SHPSO,2,17,500,obstacle-aware-v2,1000,completed,729.711782,worker completed
SHPSO,2,18,500,obstacle-aware-v2,1001,completed,24368.23857,worker completed
SHPSO,2,19,500,obstacle-aware-v2,1000,completed,1024.9417,worker completed
SHPSO,2,20,500,obstacle-aware-v2,1000,completed,551.7530702,worker completed
DE2AcPSO,1,1,500,obstacle-aware-v2,1000,completed,176.4967884,worker completed
DE2AcPSO,1,2,500,obstacle-aware-v2,1000,completed,176.7891168,worker completed
DE2AcPSO,1,3,500,obstacle-aware-v2,1000,completed,176.9634207,worker completed
DE2AcPSO,1,4,500,obstacle-aware-v2,1000,completed,175.855375,worker completed
DE2AcPSO,1,5,500,obstacle-aware-v2,1000,completed,179.2000577,worker completed
DE2AcPSO,1,6,500,obstacle-aware-v2,1000,completed,177.2618325,worker completed
DE2AcPSO,1,7,500,obstacle-aware-v2,1000,completed,180.5403198,worker completed
DE2AcPSO,1,8,500,obstacle-aware-v2,1000,completed,177.9392684,worker completed
DE2AcPSO,1,9,500,obstacle-aware-v2,1000,completed,179.8767985,worker completed
DE2AcPSO,1,10,500,obstacle-aware-v2,1000,completed,178.2476149,worker completed
DE2AcPSO,1,11,500,obstacle-aware-v2,1000,completed,181.0949263,worker completed
DE2AcPSO,1,12,500,obstacle-aware-v2,1000,completed,179.01359,worker completed
DE2AcPSO,1,13,500,obstacle-aware-v2,1000,completed,219.8211853,worker completed
DE2AcPSO,1,14,500,obstacle-aware-v2,1000,completed,220.0315772,worker completed
DE2AcPSO,1,15,500,obstacle-aware-v2,1000,completed,218.4826102,worker completed
DE2AcPSO,1,16,500,obstacle-aware-v2,1000,completed,220.494456,worker completed
DE2AcPSO,1,17,500,obstacle-aware-v2,1000,completed,210.9562803,worker completed
DE2AcPSO,1,18,500,obstacle-aware-v2,1000,completed,212.919136,worker completed
DE2AcPSO,1,19,500,obstacle-aware-v2,1000,completed,210.5533582,worker completed
DE2AcPSO,1,20,500,obstacle-aware-v2,1000,completed,212.4488109,worker completed
DE2AcPSO,2,1,500,obstacle-aware-v2,1000,completed,312.5217597,worker completed
DE2AcPSO,2,2,500,obstacle-aware-v2,1000,completed,312.5725572,worker completed
DE2AcPSO,2,3,500,obstacle-aware-v2,1000,completed,312.7744157,worker completed
DE2AcPSO,2,4,500,obstacle-aware-v2,1000,completed,310.7151615,worker completed
DE2AcPSO,2,5,500,obstacle-aware-v2,1000,completed,236.9247918,worker completed
DE2AcPSO,2,6,500,obstacle-aware-v2,1000,completed,251.5540759,worker completed
DE2AcPSO,2,7,500,obstacle-aware-v2,1000,completed,236.6236781,worker completed
DE2AcPSO,2,8,500,obstacle-aware-v2,1000,completed,251.677351,worker completed
DE2AcPSO,2,9,500,obstacle-aware-v2,1000,completed,236.3560243,worker completed
DE2AcPSO,2,10,500,obstacle-aware-v2,1000,completed,253.0276513,worker completed
DE2AcPSO,2,11,500,obstacle-aware-v2,1000,completed,238.5620505,worker completed
DE2AcPSO,2,12,500,obstacle-aware-v2,1000,completed,253.8341273,worker completed
DE2AcPSO,2,13,500,obstacle-aware-v2,1000,completed,230.374695,worker completed
DE2AcPSO,2,14,500,obstacle-aware-v2,1000,completed,229.9683802,worker completed
DE2AcPSO,2,15,500,obstacle-aware-v2,1000,completed,229.2469316,worker completed
DE2AcPSO,2,16,500,obstacle-aware-v2,1000,completed,229.0247113,worker completed
DE2AcPSO,2,17,500,obstacle-aware-v2,1000,completed,241.5465828,worker completed
DE2AcPSO,2,18,500,obstacle-aware-v2,1000,completed,239.6905459,worker completed
DE2AcPSO,2,19,500,obstacle-aware-v2,1000,completed,242.3008343,worker completed
DE2AcPSO,2,20,500,obstacle-aware-v2,1000,completed,238.7767853,worker completed
